# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
1.29971400e+05	0.00000000e+00	8.81275200e+06	1.57923300e+28
2.79449859e+04	5.00000000e-02	6.64284402e+06	1.91758824e+25
2.39560728e+04	1.00000000e-01	6.58022368e+06	1.01619090e+25
2.13879039e+04	1.50000000e-01	6.54101060e+06	6.37961634e+24
1.95487457e+04	2.00000000e-01	6.51414440e+06	4.41592903e+24
1.81571668e+04	2.50000000e-01	6.49381695e+06	3.26606050e+24
1.70558014e+04	3.00000000e-01	6.47752732e+06	2.53010931e+24
1.61591703e+04	3.50000000e-01	6.46401688e+06	2.03008035e+24
1.54117035e+04	4.00000000e-01	6.45280834e+06	1.67390910e+24
1.47770510e+04	4.50000000e-01	6.44320040e+06	1.41054400e+24
1.42298040e+04	5.00000000e-01	6.43466913e+06	1.20970579e+24
1.37505477e+04	5.50000000e-01	6.42708681e+06	1.05230072e+24
1.33249605e+04	6.00000000e-01	6.42034226e+06	9.26001681e+23
1.29420138e+04	6.50000000e-01	6.41423803e+06	8.22488190e+23
1.25952268e+04	7.00000000e-01	6.40860033e+06	7.36515445e+23
1.22798635e+04	7.50000000e-01	6.40336549e+06	6.64388772e+23
1.19914532e+04	8.00000000e-01	6.39844654e+06	6.03210436e+23
1.17263351e+04	8.50000000e-01	6.39384202e+06	5.50813900e+23
1.14813010e+04	9.00000000e-01	6.38947512e+06	5.05506554e+23
1.12548783e+04	9.50000000e-01	6.38535391e+06	4.66191202e+23
1.10442688e+04	1.00000000e+00	6.38150125e+06	4.31743803e+23
1.08470352e+04	1.05000000e+00	6.37792268e+06	4.01267829e+23
1.06615632e+04	1.10000000e+00	6.37461466e+06	3.74130647e+23
1.04909336e+04	1.15000000e+00	6.37161458e+06	3.50419107e+23
1.03440848e+04	1.20000000e+00	6.36901780e+06	3.30935108e+23
1.02171548e+04	1.25000000e+00	6.36674818e+06	3.14765578e+23
1.01044361e+04	1.30000000e+00	6.36470437e+06	3.00908242e+23
1.00012702e+04	1.35000000e+00	6.36281025e+06	2.88635771e+23
9.90338455e+03	1.40000000e+00	6.36100690e+06	2.77344295e+23
9.80961153e+03	1.45000000e+00	6.35927388e+06	2.66841942e+23
9.71985666e+03	1.50000000e+00	6.35760860e+06	2.57074906e+23
9.63430045e+03	1.55000000e+00	6.35602369e+06	2.48017674e+23
9.55269588e+03	1.60000000e+00	6.35452170e+06	2.39606204e+23
9.47384988e+03	1.65000000e+00	6.35308022e+06	2.31690138e+23
9.39685923e+03	1.70000000e+00	6.35168371e+06	2.24152594e+23
9.32178523e+03	1.75000000e+00	6.35034025e+06	2.16981518e+23
9.24868925e+03	1.80000000e+00	6.34905681e+06	2.10167989e+23
9.17695905e+03	1.85000000e+00	6.34781850e+06	2.03644862e+23
9.10585239e+03	1.90000000e+00	6.34660562e+06	1.97333905e+23
9.03563678e+03	1.95000000e+00	6.34542203e+06	1.91246320e+23
8.96733121e+03	2.00000000e+00	6.34428915e+06	1.85459867e+23
8.90161559e+03	2.05000000e+00	6.34321774e+06	1.80021356e+23
8.83829107e+03	2.10000000e+00	6.34219127e+06	1.74897500e+23
8.77699672e+03	2.15000000e+00	6.34118965e+06	1.70041486e+23
8.71704652e+03	2.20000000e+00	6.34019868e+06	1.65390705e+23
8.65755214e+03	2.25000000e+00	6.33920784e+06	1.60872719e+23
8.59784663e+03	2.30000000e+00	6.33820869e+06	1.56432495e+23
8.53810782e+03	2.35000000e+00	6.33720052e+06	1.52081087e+23
8.47871226e+03	2.40000000e+00	6.33618443e+06	1.47845082e+23
8.42003057e+03	2.45000000e+00	6.33516552e+06	1.43748631e+23
8.36241964e+03	2.50000000e+00	6.33415821e+06	1.39810227e+23
8.30622792e+03	2.55000000e+00	6.33317798e+06	1.36047138e+23
8.25154032e+03	2.60000000e+00	6.33223164e+06	1.32459312e+23
8.19809296e+03	2.65000000e+00	6.33131446e+06	1.29023777e+23
8.14560878e+03	2.70000000e+00	6.33042113e+06	1.25716727e+23
8.09400239e+03	2.75000000e+00	6.32954992e+06	1.22527528e+23
8.04335314e+03	2.80000000e+00	6.32870223e+06	1.19456862e+23
7.99373203e+03	2.85000000e+00	6.32787911e+06	1.16505019e+23
7.94499171e+03	2.90000000e+00	6.32707485e+06	1.13660130e+23
7.89680961e+03	2.95000000e+00	6.32627831e+06	1.10900571e+23
7.84886799e+03	3.00000000e+00	6.32547864e+06	1.08205061e+23
7.80106402e+03	3.05000000e+00	6.32467417e+06	1.05565890e+23
7.75350460e+03	3.10000000e+00	6.32387219e+06	1.02988590e+23
7.70630810e+03	3.15000000e+00	6.32308035e+06	1.00479347e+23
7.65973638e+03	3.20000000e+00	6.32230357e+06	9.80496422e+22
7.61426114e+03	3.25000000e+00	6.32154278e+06	9.57187029e+22
7.57036774e+03	3.30000000e+00	6.32079861e+06	9.35062319e+22
7.52807378e+03	3.35000000e+00	6.32006695e+06	9.14102230e+22
7.48642503e+03	3.40000000e+00	6.31933399e+06	8.93835664e+22
7.44434650e+03	3.45000000e+00	6.31858468e+06	8.73735476e+22
7.40122960e+03	3.50000000e+00	6.31781159e+06	8.53493986e+22
7.35788276e+03	3.55000000e+00	6.31703038e+06	8.33470311e+22
7.31538257e+03	3.60000000e+00	6.31626108e+06	8.14149737e+22
7.27461357e+03	3.65000000e+00	6.31552009e+06	7.95930484e+22
7.23509813e+03	3.70000000e+00	6.31479794e+06	7.78593046e+22
7.19576960e+03	3.75000000e+00	6.31407401e+06	7.61650822e+22
7.15569743e+03	3.80000000e+00	6.31333025e+06	7.44676942e+22
7.11513084e+03	3.85000000e+00	6.31257108e+06	7.27762633e+22
7.07491604e+03	3.90000000e+00	6.31181225e+06	7.11261274e+22
7.03585395e+03	3.95000000e+00	6.31106868e+06	6.95505902e+22
6.99813562e+03	4.00000000e+00	6.31034395e+06	6.80556196e+22
6.96154422e+03	4.05000000e+00	6.30963402e+06	6.66288991e+22
6.92581630e+03	4.10000000e+00	6.30893389e+06	6.52567281e+22
6.89040639e+03	4.15000000e+00	6.30823251e+06	6.39178488e+22
6.85464543e+03	4.20000000e+00	6.30751619e+06	6.25876905e+22
6.81813780e+03	4.25000000e+00	6.30677711e+06	6.12515353e+22
6.78154921e+03	4.30000000e+00	6.30603020e+06	5.99328830e+22
6.74579518e+03	4.35000000e+00	6.30529577e+06	5.86642284e+22
6.71127040e+03	4.40000000e+00	6.30458261e+06	5.74590807e+22
